,Date,Average Buy Size,", Average Sell Size",Max buy size,Max sell size, Buy volume,sell volume,Total volume traded, EOD Price in USD,Average Liquidity in Pool
157,20-11-20,45179258.88300108,3761529.1940870425,45179258.88300108,436784355.98410434,45179258.88300108,18807645.970435213,63986904.85343629,1706.1982044033637,1555295.8641572427
158,21-11-20,0.0,37130781.398408286,0.0,111392344.19522487,0.0,111392344.19522487,111392344.19522487,1499.0725676763998,2367583.6709223837
159,22-11-20,18270048.77272207,102415564.23946698,18270048.77272207,102415564.23946698,18270048.77272207,102415564.23946698,120685613.01218905,601.0719318330026,1171371.5136691113
160,23-11-20,0.0,5943410.662295729,0.0,163736866.13738638,0.0,17830231.986887187,17830231.986887187,1432.6898769335553,1245368.116650154
161,24-11-20,0.0,22327294.68434329,0.0,44654589.36868658,0.0,44654589.36868658,44654589.36868658,901.6142178175622,900672.3849561203
162,25-11-20,62760878.66494499,154096209.21504354,93895485.09548886,308192418.4300871,125521757.32988998,308192418.4300871,433714175.7599771,1713.6000626923922,1339992.8688717096
163,26-11-20,90863975.67445709,7654037.819856909,90863975.67445709,657823135.3355174,90863975.67445709,22962113.45957073,113826089.13402781,882.8866503468533,1851274.6296732076
164,27-11-20,0.0,6138438.454208573,0.0,89718285.38456953,0.0,24553753.816834293,24553753.816834293,561.3857785056806,1864033.6113996622
165,28-11-20,0.0,31815189.029296722,0.0,31815189.029296722,0.0,31815189.029296722,31815189.029296722,628.6247533550227,0.006353099801019153
166,30-11-20,24807727.933870915,9948297.934772972,24807727.933870915,779882203.668277,24807727.933870915,49741489.673864864,74549217.60773578,439.72969660355704,2208411.4256839473
167,01-12-20,0.0,29175680.13780665,0.0,473835871.15757906,0.0,87527040.41341995,87527040.41341995,1769.5638246761773,2797029.549032574
168,02-12-20,143207645.90549517,136695206.22453913,143207645.90549517,410085618.6736174,143207645.90549517,410085618.6736174,553293264.5791125,1828.7631328402736,1288510.8829132705
169,03-12-20,17406314.984567348,9990612.853650916,18022553.158695336,496371793.7408204,34812629.969134696,19981225.707301833,54793855.67643653,557.1341973983664,1563196.7742590774
170,04-12-20,0.0,335008019.16302884,0.0,335008019.16302884,0.0,335008019.16302884,335008019.16302884,1816.5990133089526,2385051.0128678167
171,06-12-20,68142564.23539926,16523922.062974727,115001769.64515662,104174977.64261265,136285128.47079852,49571766.18892418,185856894.6597227,1737.5092149027546,1820518.8454524085
